symbol,date,wert,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Museum Brandhorst,May 2014,8349,10738,"-0,29","-22,25",8210
Museum Brandhorst,Jun 2014,6300,6395,"-24,54","-1,49",8202
Museum Brandhorst,Jul 2014,10071,4977,"59,86","102,35",8627
Museum Brandhorst,Aug 2014,17950,7712,"78,23","132,75",9480
Museum Brandhorst,Sep 2014,10882,7274,"-39,38","49,6",9780
Museum Brandhorst,Oct 2014,17007,9718,"56,29","75,01",10388
Museum Brandhorst,Nov 2014,12092,11108,"-28,9","8,86",10470
Museum Brandhorst,Dec 2014,6204,9440,"-48,69","-34,28",10200
Museum Brandhorst,Jan 2015,9139,10244,"47,31","-10,79",10108
Museum Brandhorst,Feb 2015,7444,6917,"-18,55","7,62",10152
Museum Brandhorst,Mar 2015,8852,8012,"18,91","10,48",10222
Museum Brandhorst,Apr 2015,6850,8373,"-22,62","-18,19",10095
Museum Brandhorst,May 2015,8492,8349,"23,97","1,71",10107
Museum Brandhorst,Jun 2015,7384,6300,"-13,05","17,21",10197
Museum Brandhorst,Jul 2015,13177,10071,"78,45","30,84",10456
Museum Brandhorst,Aug 2015,14900,17950,"13,08","-16,99",10202
Museum Brandhorst,Sep 2015,12655,10882,"-15,07","16,29",10350
Museum Brandhorst,Oct 2015,13736,17007,"8,54","-19,23",10077
Museum Brandhorst,Nov 2015,8231,12092,"-40,08","-31,93",9755
Museum Brandhorst,Dec 2015,7991,6204,"-2,92","28,8",9904
Museum Brandhorst,Jan 2016,11711,9139,"46,55","28,14",10119
Museum Brandhorst,Feb 2016,10294,7444,"-12,1","38,29",10356
Museum Brandhorst,Mar 2016,10250,8852,"-0,43","15,79",10473
Museum Brandhorst,Apr 2016,9119,6850,"-11,03","33,12",10662
Museum Brandhorst,May 2016,3561,8492,"-60,95","-58,07",10251
Museum Brandhorst,Jun 2016,8574,7384,"140,78","16,12",10350
Museum Brandhorst,Jul 2016,9618,13177,"12,18","-27,01",10053
Museum Brandhorst,Aug 2016,6917,14900,"-28,08","-53,58",9388
Museum Brandhorst,Sep 2016,5021,12655,"-27,41","-60,32",8752
Museum Brandhorst,Oct 2016,9509,13736,"89,38","-30,77",8400
Museum Brandhorst,Nov 2016,7713,8231,"-18,89","-6,29",8357
Museum Brandhorst,Dec 2016,6180,7991,"-19,88","-22,66",8206
MÃ¼nchner Stadtmuseum,Jan 2012,10316,18752,"-1,87","-44,99",10767
MÃ¼nchner Stadtmuseum,Feb 2012,11868,14107,"15,04","-15,87",10580
MÃ¼nchner Stadtmuseum,Mar 2012,16252,15897,"36,94","2,23",10610
MÃ¼nchner Stadtmuseum,Apr 2012,11316,9822,"-30,37","15,21",10734
MÃ¼nchner Stadtmuseum,May 2012,8827,9230,-22,"-4,37",10701
MÃ¼nchner Stadtmuseum,Jun 2012,8471,8602,"-4,03","-1,52",10690
MÃ¼nchner Stadtmuseum,Jul 2012,10732,11060,"26,69","-2,97",10662
MÃ¼nchner Stadtmuseum,Aug 2012,5733,4301,"-46,58","33,29",10782
MÃ¼nchner Stadtmuseum,Sep 2012,7806,8206,"36,16","-4,87",10748
MÃ¼nchner Stadtmuseum,Oct 2012,11365,15798,"45,59","-28,06",10379
MÃ¼nchner Stadtmuseum,Nov 2012,13884,11348,"22,16","22,35",10590
MÃ¼nchner Stadtmuseum,Dec 2012,10778,10513,"-22,37","2,52",10612
MÃ¼nchner Stadtmuseum,Jan 2013,14124,10316,"31,04","36,91",10930
MÃ¼nchner Stadtmuseum,Feb 2013,16889,11868,"19,58","42,31",11348
MÃ¼nchner Stadtmuseum,Mar 2013,35036,16252,"107,45","115,58",12913
MÃ¼nchner Stadtmuseum,Apr 2013,19725,11316,"-43,7","74,31",13614
MÃ¼nchner Stadtmuseum,May 2013,19218,8827,"-2,57","117,72",14480
MÃ¼nchner Stadtmuseum,Jun 2013,9084,8471,"-52,73","7,24",14531
MÃ¼nchner Stadtmuseum,Jul 2013,15491,10732,"70,53","44,34",14928
MÃ¼nchner Stadtmuseum,Aug 2013,8916,5733,"-42,44","55,52",15193
MÃ¼nchner Stadtmuseum,Sep 2013,10256,7806,"15,03","31,39",15397
MÃ¼nchner Stadtmuseum,Oct 2013,13457,11365,"31,21","18,41",15572
MÃ¼nchner Stadtmuseum,Nov 2013,12395,13884,"-7,89","-10,72",15447
MÃ¼nchner Stadtmuseum,Dec 2013,9558,10778,"-22,89","-11,32",15346
MÃ¼nchner Stadtmuseum,Jan 2014,10702,14124,"11,97","-24,23",15061
MÃ¼nchner Stadtmuseum,Feb 2014,10926,16889,"2,09","-35,31",14564
